radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,250,99,1227,13252,0,30.439256,59.952369,2502,29,1,1238780656,1394001606,0
8760844,0


GSM,250,99,1227,12152,0,30.400753,59.984693,1000,49,1,1238761595,1238761595,0
GSM,250,99,1227,12596,0,30.40329,59.983292,1000,2,1,1238760858,1238760858,0
GSM,250,99,1227,12591,0,30.401943,59.984654,1000,129,1,1238761595,1238761595,0
GSM,250,99,1227,12595,0,30.402603149414,59.984664916992,1000,1,1,1238760868,1238760868,0
GSM,250,99,1224,17272,0,30.268273,59.853055,1000,201,1,1238780710,1369139763,0
GSM,250,99,1224,17082,0,30.270586,59.853116,1000,91,1,1238780710,1367997003,0
GSM,250,99,1224,16323,0,30.269724,59.852064,1000,79,1,1238780710,1368778747,0
GSM,250,99,1224,16321,0,30.269831,59.852891,1000,22,1,1238760912,1238760912,0
GSM,250,99,1224,17522,0,30.269393920898,59.852828979492,1000,3,1,1238760910,1238760910,0
GSM,250,99,1225,40403,0,30.29068,59.952698,1000,18,1,1238763875,1238763875,0
GSM,250,99,1225,40401,0,30.295486450195,59.950332641602,1000,10,1,1238760927,1238760927,0
GSM,250,99,1223,41412,0,30.293427,59.922524,1000,4,1,1238760929,1238760929,0
GSM,250,99,1225,40045,0,30.310867,59.955826,1000,5,1,1238760951,1238760951,0
GSM,250,99,1223,41096,0,30.298233032227,59.907760620117,1000,1,1,1238760930,1238760930,0
GSM,250,99,1225,40043,0,30.308178,59.955163,1000,29,1,1238763896,1238763896,0
GSM,250,99,1225,40371,0,30.306669,59.953864,1000,7,1,1238760951,1238760951,0
GSM,250,99,1225,40373,0,30.30647277832,59.953079223633,1000,4,1,1238760951,1238760951,0
GSM,250,99,1225,40421,0,30.29411315918,59.954452514648,1000,3,1,1238760951,1238760951,0
GSM,250,99,1225,40253,0,30.300522,59.954453,1000,3,1,1238760951,1238760951,0
GSM,250,99,1225,40476,0,30.294113,59.956741,1000,3,1,1238760952,1238760952,0
GSM,250,99,1225,40181,0,30.294662,59.958641,1000,20,1,1238763875,1238763875,0
GSM,250,99,1225,11243,0,30.339432,59.958811,1000,23,1,1238761214,1238761214,0
GSM,250,99,1225,40601,0,30.340942,59.956512,1000,10,1,1238761214,1238761214,0
GSM,250,99,1225,42573,0,30.349045,59.950333,1000,8,1,1238761656,1238761656,0
GSM,250,99,1225,42633,0,30.348522,59.946278,1000,21,1,1238762815,1238762815,0
GSM,250,99,1223,42171,0,30.348907,59.944839,1000,10,1,1238762814,1238762814,0
GSM,250,99,1223,42603,0,30.347672,59.930008,1000,10,1,1238761216,1238761216,0
GSM,250,99,1223,42173,0,30.349045,59.94338,1000,16,1,1238762814,1238762814,0
GSM,250,99,1225,42201,0,30.381519,59.957603,1023,17,1,1238762279,1238762279,0
GSM,250,99,1227,13042,0,30.419846,59.974493,1000,27,1,1238761592,1238761592,0
GSM,250,99,1223,30402,0,30.348633,59.941132,1000,10,1,1238761588,1238761588,0
GSM,250,99,1227,13381,0,30.43687,59.974006,1000,21,1,1238761592,1238761592,0
GSM,250,99,1227,13023,0,30.424826,59.978048,1000,11,1,1238761593,1238761593,0
GSM,250,99,1227,13382,0,30.436935424805,59.976425170898,1000,5,1,1238761593,1238761593,0
GSM,250,99,1227,13022,0,30.432816,59.977798,1000,3,1,1238761593,1238761593,0
GSM,250,99,1227,13243,0,30.412765,59.971344,1000,10,1,1238761592,1238761592,0
GSM,250,99,1227,12361,0,30.385731,59.988589,1000,7,1,1238761594,1238761594,0
GSM,250,99,1227,13021,0,30.426617,59.989243,1224,39,1,1238763999,1238763999,0
GSM,250,99,1227,12153,0,30.393971,59.985744,1000,14,1,1238761594,1238761594,0
GSM,250,99,1223,42042,0,30.338531,59.933853,1000,61,1,1238761632,1238761632,0
GSM,250,99,1227,12151,0,30.390636,59.986823,1000,7,1,1238761594,1238761594,0
GSM,250,99,1228,11383,0,30.353164672852,59.99153137207,1000,1,1,1238761657,1238761657,0
GSM,250,99,1228,10712,0,30.320663,60.031357,1000,3,1,1238763330,1238763330,0
GSM,250,99,1227,13041,0,30.41633605957,59.976425170898,1000,1,1,1238761660,1238761660,0
GSM,250,99,1227,12372,0,30.406723022461,59.961318969727,1000,1,1,1238761660,1238761660,0
GSM,250,99,1227,13251,0,30.437622,59.955139,1000,4,1,1238761662,1238761662,0
GSM,250,99,1227,12222,0,30.384407,59.988785,1000,8,1,1238761594,1238761594,0
GSM,250,99,1227,13183,0,30.487747192383,59.933853149414,1000,1,1,1238761662,1238761662,0
GSM,250,99,1227,14072,0,30.491409,59.919205,1000,3,1,1238781463,1386596273,0
GSM,250,99,1227,14282,0,30.465186,59.907303,1000,21,1,1238764119,1238764119,0
GSM,250,99,1227,13053,0,30.43602,59.959946,1000,3,1,1238781462,1399770929,0
GSM,250,99,1227,14023,0,30.485916,59.928818,1000,3,1,1238761662,1238761662,0
