radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,250,2,7838,201352708,0,30.329467,59.874907,1000,39,1,1458925973,1491924547,0
LTE,250,20,19705,2313,0,30.345431,59.955434,4267,4,1,1394209809,1505588258,0
LTE,250,20,19690,6651,0,30.425962,60.034796,1000,2,1,1394990103,1505712059,0
LTE,250,2,7816,201222144,0,30.225483,59.847516,1000,4,1,1396430407,1505217855,0
LTE,250,2,7816,201230080,0,30.223945,59.850917,1000,6,1,1396430705,1548400709,0
LTE,250,2,7840,200718338,0,30.422488,60.03644,1000,6,1,1396453802,1561384163,0
LTE,250,2,7840,200719361,0,30.401465,60.03641,1000,4,1,1396454103,1554348785,0
LTE,250,2,7811,201473793,0,30.38029,59.871014,1000,2,1,1396552803,1505319899,0
LTE,250,2,7829,200723456,0,30.348801,59.985706,1000,9,1,1396614614,1552092973,0
LTE,250,2,7803,199809536,0,30.324036,59.978814,2318,44,1,1396615209,1557241035,0
LTE,250,11,7828,200705797,0,30.39206,60.009265,1000,27,1,1459795387,1579545032,0
LTE,250,2,7811,201473538,0,30.348853,59.872607,1000,2,1,1463280504,1559810332,0
LTE,250,2,7843,8101291,335,30.410874,60.038784,1000,2,1,1483408164,1552122010,0
LTE,250,2,7811,201483266,0,30.346946,59.916071,1000,2,1,1398379392,1559809781,0
LTE,250,2,7810,201348610,0,30.31863,59.906796,1000,2,1,1400670533,1550595395,0
LTE,250,2,7812,201476608,0,30.423305,59.828282,1000,2,1,1400758338,1505373905,0
LTE,250,2,7812,201489153,0,30.455954,59.842387,2126,40,1,1400758338,1581670739,0
LTE,250,2,7812,201487617,0,30.453489,59.839487,1000,28,1,1400758338,1559812666,0
LTE,250,2,7812,201487616,0,30.459525,59.846139,1000,22,1,1400758338,1561390998,0
LTE,250,2,7834,201602304,0,30.48396,59.852124,1953,10,1,1400758338,1548789317,0
LTE,250,2,7834,201602816,0,30.510637,59.857941,1481,23,1,1400758338,1561385240,0
LTE,250,2,7839,201615616,0,30.519945,59.887547,3320,18,1,1400758338,1551838092,0
LTE,250,2,7839,201607680,0,30.523631,59.892456,1000,2,1,1400758338,1551838092,0
